vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万基础化工行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801030.SI|申万基础化工Ⅰ|600486.SH|扬农化工|-|54.43|-2.65|-4.64|-|692.23|37924.02|4.04|219.96|2.12|115.35|化学原料和化学制品制造业|2002-04-25|
|801030.SI|申万基础化工Ⅰ|600470.SH|六国化工|-|6.19|-0.22|-3.43|-|2762.18|17146.00|5.22|32.29|3.89|24.06|化学原料和化学制品制造业|2004-03-05|
|801030.SI|申万基础化工Ⅰ|600426.SH|华鲁恒升|-|19.87|-0.92|-4.43|-|4444.32|89394.22|27.50|546.41|18.07|358.97|化学原料和化学制品制造业|2002-06-20|
|801030.SI|申万基础化工Ⅰ|600423.SH|*ST柳化|-|2.79|-0.02|-0.71|-|397.22|1099.65|7.99|22.28|4.61|12.85|化学原料和化学制品制造业|2020-04-21|
|801030.SI|申万基础化工Ⅰ|600409.SH|三友化工|-|6.20|-0.50|-7.46|-|4553.67|28770.71|20.64|127.99|10.99|68.15|化学原料和化学制品制造业|2003-06-18|
|801030.SI|申万基础化工Ⅰ|600389.SH|江山股份|-|18.74|-0.80|-4.09|-|1689.99|31691.34|4.31|80.70|2.91|54.47|化学原料和化学制品制造业|2001-01-10|
|801030.SI|申万基础化工Ⅰ|600378.SH|昊华科技|-|45.39|-2.83|-5.87|-|6695.67|303279.37|12.90|585.53|4.31|195.42|化学原料和化学制品制造业|2001-01-11|
|801030.SI|申万基础化工Ⅰ|600370.SH|*ST三房|-|1.49|-0.01|-0.67|-|1494.97|2214.33|40.23|59.94|8.34|12.43|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|600367.SH|红星发展|-|34.33|-0.76|-2.17|-|2856.28|97197.21|3.41|117.11|2.14|73.46|化学原料和化学制品制造业|2001-03-20|
|801030.SI|申万基础化工Ⅰ|600352.SH|浙江龙盛|-|11.63|-0.66|-5.37|-|6602.49|77408.26|32.53|378.36|24.15|280.81|化学原料和化学制品制造业|2003-08-01|
|801030.SI|申万基础化工Ⅰ|600331.SH|宏达股份|-|11.96|-0.81|-6.34|-|6100.76|73233.98|26.42|315.94|13.96|166.92|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|600328.SH|中盐化工|-|6.05|-0.24|-3.82|-|3167.11|19262.63|14.66|88.71|7.23|43.75|化学原料和化学制品制造业|2000-12-22|
|801030.SI|申万基础化工Ⅰ|600319.SH|亚星化学|-|6.36|-0.23|-3.49|-|533.60|3400.01|3.88|24.66|2.23|14.20|化学原料和化学制品制造业|2001-03-26|
|801030.SI|申万基础化工Ⅰ|600309.SH|万华化学|-|74.50|-1.84|-2.41|-|3367.38|249885.72|31.30|2332.20|18.21|1356.29|化学原料和化学制品制造业|2001-01-05|
|801030.SI|申万基础化工Ⅰ|600299.SH|安迪苏|-|8.46|-0.27|-3.09|-|3921.32|33327.12|30.80|260.55|7.20|60.90|食品制造业|2000-04-20|
|801030.SI|申万基础化工Ⅰ|600273.SH|嘉化能源|-|6.58|-0.18|-2.66|-|1898.49|12537.35|13.11|86.28|7.69|50.63|化学原料和化学制品制造业|2015-07-01|
|801030.SI|申万基础化工Ⅰ|600230.SH|沧州大化|-|13.70|-0.81|-5.58|-|1500.63|20716.83|4.14|56.71|2.23|30.62|化学原料和化学制品制造业|2014-05-22|
|801030.SI|申万基础化工Ⅰ|600227.SH|赤天化|-|4.24|-0.31|-6.81|-|21410.54|91427.60|16.89|71.60|10.55|44.75|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|600165.SH|宁科生物|-|3.21|-0.12|-3.60|-|1930.22|6150.85|16.16|51.87|5.33|17.11|化学原料和化学制品制造业|2025-12-12|
|801030.SI|申万基础化工Ⅰ|600160.SH|巨化股份|-|35.26|-1.74|-4.70|-|3463.99|122486.23|27.00|951.93|10.66|375.89|化学原料和化学制品制造业|1998-06-26|
|801030.SI|申万基础化工Ⅰ|600143.SH|金发科技|-|13.23|-0.19|-1.42|-|2503.88|33009.58|26.73|353.68|18.93|250.45|橡胶和塑料制品业|2012-03-01|
|801030.SI|申万基础化工Ⅰ|600141.SH|兴发集团|-|29.25|-1.29|-4.22|-|3047.13|89623.79|11.96|349.88|7.72|225.73|化学原料和化学制品制造业|1999-06-16|
|801030.SI|申万基础化工Ⅰ|600135.SH|乐凯胶片|-|7.59|-0.14|-1.81|-|708.38|5375.88|5.53|42.00|2.95|22.40|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|600096.SH|云天化|-|29.31|-1.36|-4.43|-|4455.49|131417.18|18.23|534.32|10.66|312.59|化学原料和化学制品制造业|1997-07-09|
|801030.SI|申万基础化工Ⅰ|600078.SH|澄星股份|-|10.35|-0.54|-4.96|-|1959.74|20415.13|6.80|70.35|3.86|39.91|化学原料和化学制品制造业|1997-06-27|
|801030.SI|申万基础化工Ⅰ|600075.SH|新疆天业|-|4.84|-0.12|-2.42|-|3011.46|14552.97|17.08|82.66|6.73|32.59|化学原料和化学制品制造业|1997-06-17|
|801030.SI|申万基础化工Ⅰ|600063.SH|皖维高新|-|5.47|-0.09|-1.62|-|3642.50|19734.89|20.69|113.18|13.48|73.72|化学原料和化学制品制造业|1997-05-28|
|801030.SI|申万基础化工Ⅰ|301688.SZ|格林生物|-|35.47|-1.45|-3.93|-|479.35|17084.17|1.33|47.29|0.26|9.22|化学原料和化学制品制造业|2026-09-09|
|801030.SI|申万基础化工Ⅰ|301687.SZ|新广益|-|47.53|-0.80|-1.66|-|283.17|13340.59|1.47|69.80|0.31|14.81|计算机、通信和其他电子设备制造业|2026-01-09|
|801030.SI|申万基础化工Ⅰ|301683.SZ|慧谷新材|-|90.81|-1.57|-1.70|-|57.10|5163.48|0.63|57.32|0.14|12.95|化学原料和化学制品制造业|2026-04-09|
|801030.SI|申万基础化工Ⅰ|301665.SZ|泰禾股份|-|22.09|-0.48|-2.13|-|184.54|4073.30|4.50|99.41|1.03|22.79|化学原料和化学制品制造业|2025-04-18|
|801030.SI|申万基础化工Ⅰ|301618.SZ|长联科技|-|29.75|-0.64|-2.11|-|84.21|2506.89|1.26|37.57|0.46|13.61|化学原料和化学制品制造业|2024-10-14|
|801030.SI|申万基础化工Ⅰ|301617.SZ|博苑新材|-|46.44|-0.15|-0.32|-|135.29|6184.46|1.74|80.68|0.69|32.02|化学原料和化学制品制造业|2024-12-18|
|801030.SI|申万基础化工Ⅰ|301591.SZ|肯特股份|-|43.44|-1.93|-4.25|-|1205.60|51933.07|1.09|47.50|0.45|19.42|橡胶和塑料制品业|2024-03-06|
|801030.SI|申万基础化工Ⅰ|301585.SZ|蓝宇股份|-|27.78|-0.22|-0.79|-|70.37|1934.42|1.04|28.89|0.61|17.01|化学原料和化学制品制造业|2024-12-27|
|801030.SI|申万基础化工Ⅰ|301565.SZ|中仑新材|-|18.30|-0.37|-1.98|-|370.67|6767.68|4.00|73.20|1.03|18.76|橡胶和塑料制品业|2024-06-27|
|801030.SI|申万基础化工Ⅰ|301555.SZ|惠柏新材|-|33.59|-0.68|-1.98|-|162.42|5407.34|0.92|30.99|0.41|13.87|化学原料和化学制品制造业|2023-11-07|
|801030.SI|申万基础化工Ⅰ|301538.SZ|骏鼎达|-|38.32|-1.56|-3.91|-|208.82|7984.52|1.10|42.06|0.37|14.25|橡胶和塑料制品业|2024-03-27|
|801030.SI|申万基础化工Ⅰ|301518.SZ|长华化学|-|22.07|-1.13|-4.87|-|214.69|4773.51|1.45|32.11|0.57|12.68|化学原料和化学制品制造业|2023-08-10|
|801030.SI|申万基础化工Ⅰ|301459.SZ|丰茂股份|-|32.00|-0.17|-0.53|-|118.57|3757.70|1.04|33.32|0.26|8.35|橡胶和塑料制品业|2023-12-20|
|801030.SI|申万基础化工Ⅰ|301395.SZ|仁信新材|-|11.71|-0.29|-2.42|-|315.06|3694.14|2.43|28.44|1.29|15.15|化学原料和化学制品制造业|2023-07-10|
|801030.SI|申万基础化工Ⅰ|301373.SZ|凌玮科技|-|97.52|-1.58|-1.59|-|612.44|58436.84|1.08|105.78|0.39|38.17|化学原料和化学制品制造业|2023-02-15|
|801030.SI|申万基础化工Ⅰ|301300.SZ|远翔新材|-|32.06|-0.97|-2.94|-|55.41|1776.33|0.65|20.98|0.23|7.34|化学原料和化学制品制造业|2022-08-26|
|801030.SI|申万基础化工Ⅰ|301286.SZ|侨源股份|-|43.63|-2.48|-5.38|-|217.27|9552.87|4.00|174.56|0.43|18.94|化学原料和化学制品制造业|2022-06-21|
|801030.SI|申万基础化工Ⅰ|301283.SZ|聚胶股份|-|24.92|0.58|2.38|-|229.94|5671.73|1.16|28.96|0.54|13.54|化学原料和化学制品制造业|2022-09-09|
|801030.SI|申万基础化工Ⅰ|301256.SZ|华融化学|-|9.76|-0.24|-2.40|-|654.70|6378.74|4.80|46.85|1.36|13.29|化学原料和化学制品制造业|2022-03-29|
|801030.SI|申万基础化工Ⅰ|301237.SZ|和顺科技|-|37.45|0.58|1.57|-|224.51|8227.53|1.11|41.67|0.54|20.31|橡胶和塑料制品业|2022-03-30|
|801030.SI|申万基础化工Ⅰ|301220.SZ|亚香股份|-|27.78|1.13|4.24|-|352.15|9636.36|1.13|31.39|0.66|18.32|化学原料和化学制品制造业|2022-06-29|
|801030.SI|申万基础化工Ⅰ|301216.SZ|万凯新材|-|17.29|-0.61|-3.41|-|2927.81|50273.40|5.80|100.32|3.40|58.85|化学原料和化学制品制造业|2022-04-07|
|801030.SI|申万基础化工Ⅰ|301212.SZ|联盛化学|-|24.70|-0.62|-2.45|-|145.11|3586.22|1.08|26.68|0.29|7.21|化学原料和化学制品制造业|2022-04-26|
|801030.SI|申万基础化工Ⅰ|301209.SZ|联合化学|-|57.48|-0.75|-1.29|-|186.12|10623.54|1.57|90.13|0.48|27.60|化学原料和化学制品制造业|2022-09-01|
|801030.SI|申万基础化工Ⅰ|301206.SZ|三元生物|-|24.86|-1.63|-6.15|-|1042.92|26411.75|2.02|50.30|0.92|22.98|食品制造业|2022-02-17|
|801030.SI|申万基础化工Ⅰ|301196.SZ|唯科科技|-|80.80|-2.49|-2.99|-|462.58|37039.59|1.64|132.68|0.64|52.04|橡胶和塑料制品业|2022-01-18|
|801030.SI|申万基础化工Ⅰ|301190.SZ|善水科技|-|17.45|0.21|1.22|-|583.11|9950.28|2.15|37.45|0.77|13.41|化学原料和化学制品制造业|2021-12-31|
|801030.SI|申万基础化工Ⅰ|301156.SZ|美农生物|-|11.80|-0.50|-4.07|-|574.92|6809.69|1.84|21.72|0.69|8.18|食品制造业|2022-06-24|
|801030.SI|申万基础化工Ⅰ|301149.SZ|隆华新材|-|8.64|-0.22|-2.48|-|1107.51|9563.52|5.59|48.30|2.54|21.96|化学原料和化学制品制造业|2021-11-17|
|801030.SI|申万基础化工Ⅰ|301131.SZ|聚赛龙|-|31.44|-1.16|-3.56|-|115.69|3633.81|0.55|17.19|0.33|10.26|橡胶和塑料制品业|2022-03-21|
|801030.SI|申万基础化工Ⅰ|301118.SZ|恒光股份|-|22.36|-0.67|-2.91|-|232.99|5192.37|1.10|24.62|0.49|10.97|化学原料和化学制品制造业|2021-11-25|
|801030.SI|申万基础化工Ⅰ|301100.SZ|风光股份|-|14.86|-0.52|-3.38|-|158.97|2367.33|2.01|29.90|0.51|7.61|化学原料和化学制品制造业|2021-12-24|
|801030.SI|申万基础化工Ⅰ|301092.SZ|争光股份|-|42.24|-0.96|-2.22|-|187.18|7799.71|1.35|56.83|0.37|15.60|化学原料和化学制品制造业|2021-11-09|
|801030.SI|申万基础化工Ⅰ|301090.SZ|华润材料|-|6.81|-0.16|-2.30|-|693.41|4720.42|14.71|100.17|2.32|15.81|化学原料和化学制品制造业|2021-11-02|
|801030.SI|申万基础化工Ⅰ|301077.SZ|星华新材|-|20.70|-0.31|-1.48|-|157.67|3240.26|1.70|35.24|0.58|11.92|化学原料和化学制品制造业|2021-10-14|
|801030.SI|申万基础化工Ⅰ|301076.SZ|新瀚新材|-|20.02|-0.82|-3.93|-|406.98|8144.64|2.28|45.68|1.30|25.95|化学原料和化学制品制造业|2021-10-18|
|801030.SI|申万基础化工Ⅰ|301071.SZ|力量钻石|-|60.30|-1.64|-2.65|-|1809.13|109391.96|2.54|153.43|1.32|79.35|非金属矿物制品业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|301069.SZ|凯盛新材|-|15.39|-0.49|-3.09|-|585.78|9066.00|4.53|69.74|2.66|40.91|化学原料和化学制品制造业|2021-10-11|
|801030.SI|申万基础化工Ⅰ|301059.SZ|金三江|-|12.12|-0.21|-1.70|-|190.86|2301.67|2.31|28.02|0.66|7.99|化学原料和化学制品制造业|2021-09-22|
|801030.SI|申万基础化工Ⅰ|301057.SZ|汇隆新材|-|20.28|-0.67|-3.20|-|205.88|4139.27|1.17|23.72|0.55|11.10|化学纤维制造业|2021-09-16|
|801030.SI|申万基础化工Ⅰ|301037.SZ|保立佳|-|12.38|-0.50|-3.88|-|358.40|4418.13|1.39|17.21|0.43|5.36|化学原料和化学制品制造业|2021-08-06|
|801030.SI|申万基础化工Ⅰ|301036.SZ|双乐股份|-|21.36|-0.64|-2.91|-|143.98|3070.20|1.00|21.36|0.44|9.46|化学原料和化学制品制造业|2021-08-05|
|801030.SI|申万基础化工Ⅰ|301035.SZ|润丰股份|-|55.13|-0.39|-0.70|-|206.27|11338.25|3.65|200.95|1.17|64.71|化学原料和化学制品制造业|2021-08-04|
|801030.SI|申万基础化工Ⅰ|301019.SZ|宁波色母|-|14.57|-0.42|-2.80|-|161.36|2363.14|1.98|28.84|1.26|18.35|橡胶和塑料制品业|2021-07-05|
|801030.SI|申万基础化工Ⅰ|301003.SZ|江苏博云|-|57.10|-2.17|-3.66|-|384.90|22237.80|0.97|55.46|0.40|22.94|橡胶和塑料制品业|2021-06-23|
|801030.SI|申万基础化工Ⅰ|300995.SZ|奇德新材|-|25.04|-0.90|-3.47|-|185.50|4640.67|0.92|23.06|0.35|8.70|橡胶和塑料制品业|2021-06-02|
|801030.SI|申万基础化工Ⅰ|300980.SZ|祥源新材|-|21.72|-0.86|-3.81|-|350.01|7589.59|1.38|29.99|0.83|18.06|橡胶和塑料制品业|2021-04-28|
|801030.SI|申万基础化工Ⅰ|300927.SZ|江天化学|-|27.24|-0.89|-3.16|-|1196.02|32538.35|1.44|39.32|0.56|15.34|化学原料和化学制品制造业|2021-01-14|
|801030.SI|申万基础化工Ⅰ|300920.SZ|润阳科技|-|34.75|-0.97|-2.72|-|154.71|5347.66|1.30|45.18|0.67|23.45|橡胶和塑料制品业|2021-01-04|
|801030.SI|申万基础化工Ⅰ|300910.SZ|瑞丰新材|-|27.78|-0.82|-2.87|-|540.51|15030.78|3.83|106.41|1.90|52.81|化学原料和化学制品制造业|2020-12-04|
|801030.SI|申万基础化工Ⅰ|300905.SZ|宝丽迪|-|33.43|-0.63|-1.85|-|362.02|11996.08|1.79|59.84|0.76|25.53|橡胶和塑料制品业|2020-11-12|
|801030.SI|申万基础化工Ⅰ|300891.SZ|惠云钛业|-|7.33|-0.19|-2.53|-|667.19|4873.21|4.00|29.32|2.00|14.67|化学原料和化学制品制造业|2020-09-24|
|801030.SI|申万基础化工Ⅰ|300886.SZ|华业香料|-|22.20|-0.79|-3.44|-|171.28|3784.09|0.75|16.68|0.34|7.56|化学原料和化学制品制造业|2026-07-02|
|801030.SI|申万基础化工Ⅰ|300876.SZ|蒙泰高新|-|14.59|-0.31|-2.08|-|237.65|3446.92|1.52|22.18|0.75|11.01|化学纤维制造业|2020-08-31|
|801030.SI|申万基础化工Ⅰ|300858.SZ|科拓生物|-|13.69|-0.43|-3.05|-|266.30|3667.62|2.63|36.07|1.61|22.02|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|300848.SZ|美瑞新材|-|11.05|-0.29|-2.56|-|330.35|3645.10|4.28|47.28|1.38|15.24|化学原料和化学制品制造业|2020-07-27|
|801030.SI|申万基础化工Ⅰ|300834.SZ|星辉环材|-|38.90|-0.60|-1.52|-|116.43|4497.93|1.94|75.35|0.71|27.46|化学原料和化学制品制造业|2022-01-20|
|801030.SI|申万基础化工Ⅰ|300829.SZ|金丹科技|-|16.63|-0.40|-2.35|-|581.06|9674.34|2.27|37.80|1.53|25.51|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|300821.SZ|东岳硅材|-|14.53|-0.18|-1.22|-|3606.27|51629.91|12.00|174.36|5.69|82.71|化学原料和化学制品制造业|2020-03-19|
|801030.SI|申万基础化工Ⅰ|300806.SZ|斯迪克|-|52.17|-1.42|-2.65|-|3457.09|179770.85|6.34|330.62|4.00|208.70|橡胶和塑料制品业|2019-12-02|
|801030.SI|申万基础化工Ⅰ|300804.SZ|广康生化|-|40.63|-3.47|-7.87|-|141.67|5874.96|0.74|30.07|0.27|11.01|化学原料和化学制品制造业|2023-07-04|
|801030.SI|申万基础化工Ⅰ|300801.SZ|泰和科技|-|21.02|-0.51|-2.37|-|292.64|6125.21|2.18|45.84|0.87|18.34|化学原料和化学制品制造业|2019-12-05|
|801030.SI|申万基础化工Ⅰ|300798.SZ|锦鸡股份|-|8.12|-0.35|-4.13|-|2962.77|23974.73|4.93|40.04|3.19|25.88|化学原料和化学制品制造业|2019-11-29|
|801030.SI|申万基础化工Ⅰ|300796.SZ|贝斯美|-|6.81|-0.19|-2.71|-|372.21|2535.02|3.61|24.59|2.44|16.58|化学原料和化学制品制造业|2019-12-18|
|801030.SI|申万基础化工Ⅰ|300767.SZ|震安科技|-|18.25|-0.51|-2.72|-|669.94|12237.75|2.76|50.42|1.78|32.46|橡胶和塑料制品业|2019-04-08|
|801030.SI|申万基础化工Ⅰ|300758.SZ|七彩化学|-|11.00|-0.16|-1.43|-|680.40|7451.24|3.99|43.90|2.21|24.36|化学原料和化学制品制造业|2019-03-01|
|801030.SI|申万基础化工Ⅰ|300741.SZ|华宝股份|-|19.80|0.55|2.86|-|1462.68|28872.98|6.16|121.94|1.16|22.94|化学原料和化学制品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|300731.SZ|科创新源|-|46.03|-1.83|-3.82|-|710.68|32658.77|1.77|81.60|1.34|61.86|橡胶和塑料制品业|2019-07-08|
|801030.SI|申万基础化工Ⅰ|300727.SZ|润禾材料|-|29.68|-0.51|-1.69|-|486.58|14273.26|1.80|53.46|0.80|23.83|化学原料和化学制品制造业|2017-12-04|
|801030.SI|申万基础化工Ⅰ|300721.SZ|怡达股份|-|20.79|-0.60|-2.81|-|475.14|9830.02|1.65|34.27|0.92|19.20|化学原料和化学制品制造业|2017-11-22|
|801030.SI|申万基础化工Ⅰ|300717.SZ|华信新材|-|17.57|-0.48|-2.66|-|206.63|3618.17|1.03|18.06|0.51|8.98|橡胶和塑料制品业|2017-11-13|
|801030.SI|申万基础化工Ⅰ|300665.SZ|飞鹿股份|-|8.84|-0.38|-4.12|-|638.13|5648.06|2.30|20.29|1.87|16.56|化学原料和化学制品制造业|2017-06-20|
|801030.SI|申万基础化工Ⅰ|300644.SZ|南京聚隆|-|19.35|-0.57|-2.86|-|230.23|4431.89|1.11|21.42|0.63|12.25|橡胶和塑料制品业|2018-02-13|
|801030.SI|申万基础化工Ⅰ|300641.SZ|正丹股份|-|13.33|-0.21|-1.55|-|511.42|6791.43|5.26|70.06|2.13|28.42|化学原料和化学制品制造业|2017-04-25|
|801030.SI|申万基础化工Ⅰ|300637.SZ|扬帆新材|-|9.24|-0.09|-0.96|-|351.49|3223.24|2.35|21.69|1.46|13.46|化学原料和化学制品制造业|2022-08-01|
|801030.SI|申万基础化工Ⅰ|300610.SZ|晨化股份|-|10.22|-0.31|-2.94|-|338.49|3447.80|2.12|21.68|1.53|15.61|化学原料和化学制品制造业|2017-02-20|
|801030.SI|申万基础化工Ⅰ|300596.SZ|利安隆|-|39.70|-1.07|-2.62|-|275.64|10914.85|2.30|91.16|1.50|59.64|化学原料和化学制品制造业|2017-01-26|
|801030.SI|申万基础化工Ⅰ|300587.SZ|天铁科技|-|4.65|-0.14|-2.92|-|2377.76|11035.91|12.98|60.37|8.69|40.43|橡胶和塑料制品业|2017-01-12|
|801030.SI|申万基础化工Ⅰ|300586.SZ|美联新材|-|8.85|-0.15|-1.67|-|1371.09|11988.39|7.11|62.94|4.77|42.25|化学原料和化学制品制造业|2017-01-11|
|801030.SI|申万基础化工Ⅰ|300575.SZ|中旗股份|-|5.98|-0.14|-2.29|-|1089.44|6467.47|4.79|28.62|3.06|18.28|化学原料和化学制品制造业|2016-12-27|
|801030.SI|申万基础化工Ⅰ|300539.SZ|横河精密|-|16.44|-0.58|-3.41|-|529.41|8743.51|2.68|44.08|1.35|22.23|橡胶和塑料制品业|2016-09-06|
|801030.SI|申万基础化工Ⅰ|300538.SZ|同益股份|-|14.71|-0.16|-1.08|-|325.22|4716.15|1.82|26.76|0.93|13.69|批发业|2018-07-16|
|801030.SI|申万基础化工Ⅰ|300535.SZ|达威股份|-|15.41|-0.65|-4.05|-|301.51|4629.53|1.07|16.49|0.60|9.28|化学原料和化学制品制造业|2016-08-19|
|801030.SI|申万基础化工Ⅰ|300522.SZ|世名科技|-|13.60|-0.32|-2.30|-|1464.95|19769.40|3.22|43.85|1.59|21.63|化学原料和化学制品制造业|2016-07-12|
|801030.SI|申万基础化工Ⅰ|300505.SZ|川金诺|-|21.10|-1.05|-4.74|-|2823.68|60199.92|2.75|58.00|1.77|37.28|化学原料和化学制品制造业|2016-03-25|
|801030.SI|申万基础化工Ⅰ|300487.SZ|蓝晓科技|-|65.59|-1.04|-1.56|-|394.11|25691.14|5.09|333.95|2.52|165.05|化学原料和化学制品制造业|2015-07-09|
|801030.SI|申万基础化工Ⅰ|300478.SZ|杭州高新|-|32.55|-1.03|-3.07|-|521.98|16751.23|1.27|41.23|0.87|28.41|橡胶和塑料制品业|2015-06-17|
|801030.SI|申万基础化工Ⅰ|300405.SZ|科隆股份|-|5.58|-0.17|-2.96|-|1121.82|6232.48|2.84|15.87|1.65|9.22|化学原料和化学制品制造业|2014-11-06|
|801030.SI|申万基础化工Ⅰ|300387.SZ|富邦科技|-|7.68|-0.27|-3.40|-|1243.18|9630.53|2.89|22.20|1.76|13.50|化学原料和化学制品制造业|2014-07-10|
|801030.SI|申万基础化工Ⅰ|300343.SZ|联创股份|-|5.48|-0.10|-1.79|-|1397.75|7606.50|10.68|58.55|9.36|51.29|化学原料和化学制品制造业|2023-07-06|
|801030.SI|申万基础化工Ⅰ|300321.SZ|同大股份|-|30.80|-0.70|-2.22|-|204.02|6212.72|0.89|27.35|0.44|13.69|橡胶和塑料制品业|2012-05-30|
|801030.SI|申万基础化工Ⅰ|300320.SZ|海达股份|-|8.13|-0.09|-1.09|-|567.19|4627.34|6.01|48.88|4.03|32.73|橡胶和塑料制品业|2012-06-08|
|801030.SI|申万基础化工Ⅰ|300305.SZ|裕兴股份|-|6.26|0.06|0.97|-|1078.22|6657.61|3.75|23.50|2.25|14.09|橡胶和塑料制品业|2012-04-10|
|801030.SI|申万基础化工Ⅰ|300261.SZ|雅本化学|-|4.89|-0.22|-4.31|-|2983.22|14580.54|9.63|47.11|6.02|29.46|化学原料和化学制品制造业|2017-07-03|
|801030.SI|申万基础化工Ⅰ|300243.SZ|瑞丰高材|-|15.72|-0.32|-2.00|-|1292.52|20034.79|2.80|43.95|2.07|32.50|化学原料和化学制品制造业|2011-07-19|
|801030.SI|申万基础化工Ⅰ|300230.SZ|永利股份|-|4.27|-0.10|-2.29|-|641.31|2744.21|8.13|34.72|5.41|23.11|橡胶和塑料制品业|2011-06-22|
|801030.SI|申万基础化工Ⅰ|300225.SZ|金力泰|-|7.63|-0.43|-5.34|-|2416.05|18650.22|4.75|36.28|3.23|24.64|化学原料和化学制品制造业|2011-06-08|
|801030.SI|申万基础化工Ⅰ|300221.SZ|银禧科技|-|13.83|0.11|0.80|-|1879.90|25553.03|4.74|65.52|4.51|62.44|橡胶和塑料制品业|2011-06-01|
|801030.SI|申万基础化工Ⅰ|300218.SZ|安利股份|-|12.35|-0.25|-1.98|-|232.70|2868.45|2.17|26.80|1.39|17.17|橡胶和塑料制品业|2011-05-24|
|801030.SI|申万基础化工Ⅰ|300214.SZ|日科化学|-|10.09|-0.25|-2.42|-|2897.49|29055.16|4.65|46.91|2.81|28.31|化学原料和化学制品制造业|2011-05-18|
|801030.SI|申万基础化工Ⅰ|300200.SZ|高盟新材|-|8.25|-0.07|-0.84|-|586.03|4798.13|4.31|35.56|3.03|24.99|化学原料和化学制品制造业|2011-04-14|
|801030.SI|申万基础化工Ⅰ|300180.SZ|华峰超纤|-|4.44|-0.14|-3.06|-|3741.94|16530.88|17.61|78.19|11.74|52.12|橡胶和塑料制品业|2011-03-01|
|801030.SI|申万基础化工Ⅰ|300174.SZ|元力股份|-|18.02|-0.33|-1.80|-|1719.97|30702.56|3.64|65.63|2.80|50.52|化学原料和化学制品制造业|2011-02-15|
|801030.SI|申万基础化工Ⅰ|300169.SZ|天晟新材|-|5.63|-0.09|-1.57|-|780.52|4355.44|3.39|19.11|2.85|16.06|橡胶和塑料制品业|2011-02-01|
|801030.SI|申万基础化工Ⅰ|300163.SZ|先锋新材|-|7.39|-0.41|-5.26|-|3293.54|24532.62|4.74|35.03|4.31|31.87|纺织业|2011-01-20|
|801030.SI|申万基础化工Ⅰ|300121.SZ|阳谷华泰|-|10.06|0.40|4.14|-|3158.30|31225.09|4.45|44.79|2.95|29.67|化学原料和化学制品制造业|2010-09-29|
|801030.SI|申万基础化工Ⅰ|300109.SZ|新开源|-|12.88|-0.35|-2.65|-|987.36|12734.63|5.77|74.30|4.88|62.85|化学原料和化学制品制造业|2010-09-01|
|801030.SI|申万基础化工Ⅰ|300107.SZ|建新股份|-|6.66|-0.17|-2.49|-|846.86|5628.11|5.63|37.48|2.77|18.47|化学原料和化学制品制造业|2010-08-20|
|801030.SI|申万基础化工Ⅰ|300082.SZ|奥克股份|-|8.13|-0.18|-2.17|-|824.83|6662.74|6.80|55.29|3.19|25.90|化学原料和化学制品制造业|2010-05-27|
|801030.SI|申万基础化工Ⅰ|300072.SZ|海新能科|-|3.58|-0.13|-3.50|-|3447.65|12510.31|23.50|84.12|14.57|52.15|化学原料和化学制品制造业|2023-08-23|
|801030.SI|申万基础化工Ⅰ|300067.SZ|安诺其|-|5.15|-0.15|-2.83|-|2794.55|14341.58|11.54|59.45|7.59|39.11|化学原料和化学制品制造业|2010-04-28|
|801030.SI|申万基础化工Ⅰ|300041.SZ|回天新材|-|10.37|-0.15|-1.43|-|1442.70|14887.52|5.59|58.01|4.74|49.18|化学原料和化学制品制造业|2010-01-08|
|801030.SI|申万基础化工Ⅰ|300019.SZ|硅宝科技|-|13.78|-0.21|-1.50|-|346.59|4763.28|3.93|54.17|2.12|29.21|化学原料和化学制品制造业|2010-06-01|
|801030.SI|申万基础化工Ⅰ|003042.SZ|中农联合|-|14.41|-0.50|-3.35|-|527.12|7661.27|1.42|20.53|0.69|9.89|化学原料和化学制品制造业|2021-04-13|
|801030.SI|申万基础化工Ⅰ|003017.SZ|大洋生物|-|21.91|-0.61|-2.71|-|161.14|3517.08|1.01|22.09|0.69|15.04|化学原料和化学制品制造业|2020-11-02|
|801030.SI|申万基础化工Ⅰ|003002.SZ|壶化股份|-|20.41|0.85|4.35|-|1753.89|34829.24|2.43|49.56|0.96|19.51|化学原料和化学制品制造业|2020-09-29|
